ID,Area,Doc,Route/Context,Source (component › element),Type,English (verbatim),Arabic (fill in),Status,Bundle Key,Raw Status
33,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,alert-timeline-chart › series,label,Alerts,,keyed,cyber.dashboard.alertVolumeSeriesLabel,key: cyber.dashboard.alertVolumeSeriesLabel
34,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,alert-timeline-chart › empty,empty-state,No alert activity in the last 24 hours,,keyed,cyber.dashboard.alertVolumeEmpty,key: cyber.dashboard.alertVolumeEmpty
35,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,analyst-workload-chart › series,label,Open,,keyed,cyber.dashboard.workloadOpen,key: cyber.dashboard.workloadOpen
36,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,analyst-workload-chart › series,label,Critical,,keyed,cyber.dashboard.workloadCritical,key: cyber.dashboard.workloadCritical
37,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,analyst-workload-chart › empty,empty-state,No analyst workload data,,keyed,cyber.dashboard.workloadEmpty,key: cyber.dashboard.workloadEmpty
38,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,vuln-aging-chart › empty,empty-state,No open vulnerabilities to age,,keyed,cyber.dashboard.vulnAgingEmpty,key: cyber.dashboard.vulnAgingEmpty
39,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,severity-distribution-chart › center,label,total,,keyed,cyber.dashboard.severityTotalCenter,key: cyber.dashboard.severityTotalCenter
40,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,mitre-heatmap-widget › empty,empty-state,No MITRE detections,,keyed,cyber.dashboard.mitreEmptyTitle,key: cyber.dashboard.mitreEmptyTitle
41,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,mitre-heatmap-widget › empty,empty-state,No MITRE ATT&CK techniques have been detected yet.,,keyed,cyber.dashboard.mitreEmptyDescription,key: cyber.dashboard.mitreEmptyDescription
42,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,mitre-heatmap-widget › legend,label,Sparse / Low / Moderate / High / Hot,,keyed,"cyber.dashboard.mitreLegend{Sparse,Low,Moderate,High,Hot}","key: cyber.dashboard.mitreLegend{Sparse,Low,Moderate,High,Hot}"
43,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,mitre-heatmap-widget › legend,label,Less / More,,keyed,"cyber.dashboard.mitre{Less,More}","key: cyber.dashboard.mitre{Less,More}"
44,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,mitre-heatmap-widget › overflow,body,`+{count} more`,,keyed,cyber.dashboard.mitreOverflowMore,key: cyber.dashboard.mitreOverflowMore (fn)
45,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,mitre-heatmap-widget › footer,body,`Top {perTactic} techniques per tactic · {detections} detections`,,keyed,cyber.dashboard.mitreFooter,key: cyber.dashboard.mitreFooter (fn)
46,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,mitre-heatmap-widget › tooltip,tooltip,`{count} alert(s)`,,keyed,cyber.dashboard.mitreAlertsCountTooltip,key: cyber.dashboard.mitreAlertsCountTooltip (fn)
47,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,mitre-heatmap-widget › tooltip,tooltip,` · {count} critical`,,keyed,cyber.dashboard.mitreCriticalSuffix,key: cyber.dashboard.mitreCriticalSuffix (fn)
48,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,recent-alerts-table › empty,empty-state,No recent alerts,,keyed,cyber.dashboard.recentAlertsEmptyTitle,key: cyber.dashboard.recentAlertsEmptyTitle
49,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,recent-alerts-table › empty,empty-state,No critical alerts in the last 24 hours.,,keyed,cyber.dashboard.recentAlertsEmptyDescription,key: cyber.dashboard.recentAlertsEmptyDescription
50,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,recent-alerts-table › headers,table-header,Sev / Title / Status / Confidence / Detected,,keyed,"cyber.dashboard.col{Sev,Title,Status,Confidence,Detected}","key: cyber.dashboard.col{Sev,Title,Status,Confidence,Detected}"
51,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,top-attacked-assets-table › empty,empty-state,No attacked assets,,keyed,cyber.dashboard.attackedAssetsEmptyTitle,key: cyber.dashboard.attackedAssetsEmptyTitle
52,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,top-attacked-assets-table › empty,empty-state,No assets with active alerts found.,,keyed,cyber.dashboard.attackedAssetsEmptyDescription,key: cyber.dashboard.attackedAssetsEmptyDescription
53,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,top-attacked-assets-table › headers,table-header,Asset / Criticality / Alerts,,keyed,"cyber.dashboard.col{Asset,Criticality,Alerts}","key: cyber.dashboard.col{Asset,Criticality,Alerts}"
54,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,top-attacked-assets-table › cell,badge,`({count} crit)`,,keyed,cyber.dashboard.critShort,key: cyber.dashboard.critShort (fn)
55,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,shared severity map,badge,Critical / High / Medium / Low / Info / Informational,,keyed,cyber.severity.*,key: cyber.severity.*
56,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,shared alert-status map,badge,New / Acknowledged / Investigating / In Progress / Resolved / Closed / False Positive / Escalated,,keyed,cyber.alertStatus.*,key: cyber.alertStatus.*
57,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,shared criticality map,badge,Critical / High / Medium / Low,,keyed,cyber.criticality.*,key: cyber.criticality.*
58,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,error.tsx › RouteError,system,Cyber (segment label passed to shared `RouteError`),,HARDCODED,,"HARDCODED (`segment=""Cyber""`)"
59,Cyber · Core,20-cyber-core.md,/cyber — SOC Dashboard  ·  cyber/page.tsx,loading.tsx › PageLoader,system,(no user-facing text — skeleton only),,other,,n/a
60,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,page › eyebrow,eyebrow,Cyber Defense,,keyed,alerts.list.eyebrow,key: alerts.list.eyebrow
61,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,page › PageHeader.title,heading,Alert Management,,keyed,alerts.list.title,key: alerts.list.title
62,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,page › PageHeader.description,subheading,"Triages new detections, route investigations to analysts, and pivot from MITRE techniques into evidence, comments, and correlated alerts.",,keyed,alerts.list.description,key: alerts.list.description
63,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,page › header tag,badge,SOC triage,,keyed,alerts.list.tagSocTriage,key: alerts.list.tagSocTriage
64,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,page › search,placeholder,"Search alerts, rules, assets, or investigation context…",,keyed,alerts.list.searchPlaceholder,key: alerts.list.searchPlaceholder
65,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,page › empty,empty-state,No alerts found,,keyed,alerts.list.emptyTitle,key: alerts.list.emptyTitle
66,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,page › empty,empty-state,No alerts match the current filters.,,keyed,alerts.list.emptyDescription,key: alerts.list.emptyDescription
67,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,page › bulk bar,button,Acknowledge Selected,,keyed,alerts.bulk.acknowledgeSelected,key: alerts.bulk.acknowledgeSelected
68,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,page › bulk bar,button,Assign to Analyst,,keyed,alerts.bulk.assignToAnalyst,key: alerts.bulk.assignToAnalyst
69,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,page › bulk bar,button,Mark False Positive,,keyed,alerts.bulk.markFalsePositive,key: alerts.bulk.markFalsePositive
70,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,page › bulk bar,button,Merge Selected Alerts,,keyed,alerts.bulk.mergeSelectedAlerts,key: alerts.bulk.mergeSelectedAlerts
71,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,page › bulk toast,toast,Select at least one alert,,keyed,alerts.bulk.selectAtLeastOne,key: alerts.bulk.selectAtLeastOne
72,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,page › bulk toast,toast,Select at least two alerts to merge,,keyed,alerts.bulk.selectAtLeastTwo,key: alerts.bulk.selectAtLeastTwo
73,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,page › bulk toast,toast,`{count} alerts acknowledged`,,keyed,alerts.bulk.acknowledged,key: alerts.bulk.acknowledged (fn)
74,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,page › bulk toast,toast,Alert acknowledged,,keyed,alerts.bulk.alertAcknowledged,key: alerts.bulk.alertAcknowledged
75,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,page › ack dialog,modal-title,Acknowledge Alert,,keyed,alerts.ackDialog.title,key: alerts.ackDialog.title
76,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,page › ack dialog,modal-body,`This will move {title} into the acknowledged state and auto-assign it to you if it is currently unowned.`,,keyed,alerts.ackDialog.description,key: alerts.ackDialog.description (fn)
77,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,page › ack dialog,button,Acknowledge,,keyed,alerts.ackDialog.confirm,key: alerts.ackDialog.confirm
78,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-stats-bar › stat,label,New Alerts / Awaiting triage,,keyed,alerts.stats.newAlerts,key: alerts.stats.newAlerts / newAlertsSub
79,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-stats-bar › stat,label,Investigating / Active analyst workload,,keyed,alerts.stats.investigating,key: alerts.stats.investigating / investigatingSub
80,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-stats-bar › stat,label,False Positive Rate / Rule feedback quality,,keyed,alerts.stats.falsePositiveRate,key: alerts.stats.falsePositiveRate / falsePositiveRateSub
81,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-stats-bar › stat,label,Mean Time to Acknowledge / Average first response,,keyed,alerts.stats.mtta,key: alerts.stats.mtta / mttaSub
82,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-stats-bar › stat,label,Mean Time to Resolve / Average containment cycle,,keyed,alerts.stats.mttr,key: alerts.stats.mttr / mttrSub
83,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-stats-bar › severity bar,badge,Critical / High / Medium / Low / Open / Resolved,,keyed,alerts.severityBar.*,key: alerts.severityBar.*
84,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-columns › header,table-header,Severity / Alert Title / Status / Confidence / MITRE Technique / Asset / Rule / Created At / Actions,,keyed,alerts.columns.*,key: alerts.columns.*
85,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-columns › cell fallback,body,No analyst description provided.,,keyed,alerts.columns.noDescription,key: alerts.columns.noDescription
86,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-columns › cell fallback,body,Detection pipeline,,keyed,alerts.columns.detectionPipeline,key: alerts.columns.detectionPipeline
87,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-columns › row menu,menu/button,Open / Acknowledge / Assign / Escalate,,keyed,"alerts.columns.{open,acknowledge,assign,escalate}","key: alerts.columns.{open,acknowledge,assign,escalate}"
88,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-columns › row menu,aria-label,Alert actions,,keyed,alerts.columns.alertActions,key: alerts.columns.alertActions
89,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-filters › filter label,label,Severity / Status / MITRE Tactic / Confidence / Date Range / Rule Type,,keyed,"alerts.filters.{severity,status,mitreTactic,confidence,dateRange,ruleType}","key: alerts.filters.{severity,status,mitreTactic,confidence,dateRange,ruleType}"
90,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-filters › severity options,option,Critical / High / Medium / Low / Info,,keyed,"alerts.filters.{critical,high,medium,low,info}","key: alerts.filters.{critical,high,medium,low,info}"
91,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-filters › status options,option,New / Acknowledged / Investigating / In Progress / Resolved / Closed / False Positive / Escalated / Merged,,HARDCODED,,**HARDCODED** — from `ALERT_STATUS_OPTIONS` in `src/lib/cyber-alerts.ts` (not the bundle)
92,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-filters › rule-type options,option,Sigma / Threshold / Correlation / Anomaly,,HARDCODED,,**HARDCODED** — from `ALERT_RULE_TYPE_OPTIONS` in `src/lib/cyber-alerts.ts`
93,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-assign-dialog › title,modal-title,Assign Alert,,keyed,alerts.assign.titleSingle,key: alerts.assign.titleSingle
94,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-assign-dialog › title,modal-title,`Assign {count} alerts`,,keyed,alerts.assign.titleBulk,key: alerts.assign.titleBulk (fn)
95,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-assign-dialog › token,body,this alert,,keyed,alerts.assign.thisAlert,key: alerts.assign.thisAlert
96,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-assign-dialog › desc,modal-body,`Route {title} to an analyst for investigation.`,,keyed,alerts.assign.descriptionSingle,key: alerts.assign.descriptionSingle (fn)
97,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-assign-dialog › desc,modal-body,Route the selected alerts to an analyst for investigation.,,keyed,alerts.assign.descriptionBulk,key: alerts.assign.descriptionBulk
98,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-assign-dialog › field,label,Analyst,,keyed,alerts.assign.analystLabel,key: alerts.assign.analystLabel
99,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-assign-dialog › help,body,Acknowledging an alert will auto-assign it to the acting analyst if it is still unowned.,,keyed,alerts.assign.analystHelp,key: alerts.assign.analystHelp
100,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-assign-dialog › select,placeholder/option,Loading analysts… / Select an analyst / Search analysts,,keyed,"alerts.assign.{loadingAnalysts,selectAnalyst,searchAnalysts}","key: alerts.assign.{loadingAnalysts,selectAnalyst,searchAnalysts}"
101,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-assign-dialog › toast,toast,No alerts selected,,keyed,alerts.assign.noAlertsSelected,key: alerts.assign.noAlertsSelected
102,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-assign-dialog › toast,toast,Alert assigned successfully,,keyed,alerts.assign.assignedSingle,key: alerts.assign.assignedSingle
103,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-assign-dialog › toast,toast,`{count} alerts assigned`,,keyed,alerts.assign.assignedBulk,key: alerts.assign.assignedBulk (fn)
104,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-assign-dialog › footer,button,Cancel / Assign / Assigning…,,keyed,"alerts.assign.{cancel,submitIdle,submitting}","key: alerts.assign.{cancel,submitIdle,submitting}"
105,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-escalate-dialog › title,modal-title,Escalate Alert,,keyed,alerts.escalate.title,key: alerts.escalate.title
106,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-escalate-dialog › desc,modal-body,`Escalate {title} to a higher-tier analyst with a documented reason.`,,keyed,alerts.escalate.description,key: alerts.escalate.description (fn)
107,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-escalate-dialog › field,label,Escalate To,,keyed,alerts.escalate.escalateToLabel,key: alerts.escalate.escalateToLabel
108,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-escalate-dialog › select,placeholder/option,Loading analysts… / Select escalation target / Search analysts,,keyed,"alerts.escalate.{loadingAnalysts,selectTarget,searchAnalysts}","key: alerts.escalate.{loadingAnalysts,selectTarget,searchAnalysts}"
109,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-escalate-dialog › field,label,Reason,,keyed,alerts.escalate.reasonLabel,key: alerts.escalate.reasonLabel
110,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-escalate-dialog › field,placeholder,Explain why this alert needs to be escalated.,,keyed,alerts.escalate.reasonPlaceholder,key: alerts.escalate.reasonPlaceholder
111,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-escalate-dialog › toast,toast,Alert escalated,,keyed,alerts.escalate.escalated,key: alerts.escalate.escalated
112,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-escalate-dialog › footer,button,Cancel / Escalate / Escalating…,,keyed,"alerts.escalate.{cancel,submitIdle,submitting}","key: alerts.escalate.{cancel,submitIdle,submitting}"
113,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-escalate-dialog › validation,validation,Select an escalation target,,keyed,alerts.escalate.selectTargetError,key: alerts.escalate.selectTargetError
114,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-escalate-dialog › validation,validation,Provide a clear escalation reason,,keyed,alerts.escalate.reasonError,key: alerts.escalate.reasonError
115,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-false-positive-dialog › title,modal-title,Mark False Positive,,keyed,alerts.falsePositive.title,key: alerts.falsePositive.title
116,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-false-positive-dialog › desc,modal-body,`Document why {title} is benign.`,,keyed,alerts.falsePositive.descriptionSingle,key: alerts.falsePositive.descriptionSingle (fn)
117,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-false-positive-dialog › desc,modal-body,Document why the selected alerts are benign so rule feedback stays accurate.,,keyed,alerts.falsePositive.descriptionBulk,key: alerts.falsePositive.descriptionBulk
118,Cyber · Core,20-cyber-core.md,/cyber/alerts — Alert Management (list)  ·  alerts/page.tsx,alert-false-positive-dialog › field,label/placeholder,Reason / Explain why this activity should not be treated as malicious.,,keyed,alerts.falsePositive.reasonLabel,key: alerts.falsePositive.reasonLabel / reasonPlaceholder
